,boro_ct201,CAMIS
0,1000201,3
1,1000202,5
2,1000500,2
3,1000600,33
4,1000700,79
5,1000800,45
6,1000900,121
7,1001200,2
8,1001300,77
9,1001401,4
10,1001402,26
11,1001501,65
12,1001502,106
13,1001600,101
14,1001800,121
15,1002100,99
16,1002201,13
17,1002202,13
18,1002500,1
19,1002601,10
20,1002602,18
21,1002700,12
22,1002800,19
23,1002900,120
24,1003001,101
25,1003002,29
26,1003100,20
27,1003200,120
28,1003300,97
29,1003400,83
30,1003601,32
31,1003602,32
32,1003700,56
33,1003800,192
34,1003900,54
35,1004000,91
36,1004100,143
37,1004200,46
38,1004300,64
39,1004400,9
40,1004500,53
41,1004700,46
42,1004800,39
43,1004900,57
44,1005000,56
45,1005200,69
46,1005400,48
47,1005501,14
48,1005502,45
49,1005600,60
50,1005700,21
51,1005800,94
52,1005900,34
53,1006000,2
54,1006100,59
55,1006200,7
56,1006300,60
57,1006400,32
58,1006500,162
59,1006600,32
60,1006700,115
61,1006800,107
62,1006900,6
63,1007000,40
64,1007100,64
65,1007200,74
66,1007300,73
67,1007400,96
68,1007500,40
69,1007600,137
70,1007700,56
71,1007800,36
72,1007900,48
73,1008000,70
74,1008100,54
75,1008200,83
76,1008300,82
77,1008400,113
78,1008601,1
79,1008603,6
80,1008700,47
81,1008800,51
82,1008900,29
83,1009000,44
84,1009100,69
85,1009200,160
86,1009300,36
87,1009400,64
88,1009500,77
89,1009600,122
90,1009700,9
91,1009800,120
92,1009900,68
93,1010000,104
94,1010100,170
95,1010200,74
96,1010300,28
97,1010400,117
98,1010601,13
99,1010602,18
100,1010800,60
101,1010900,101
102,1011000,45
103,1011100,58
104,1011201,48
105,1011202,23
106,1011203,26
107,1011300,127
108,1011401,32
109,1011402,35
110,1011500,75
111,1011600,16
112,1011700,7
113,1011800,32
114,1011900,127
115,1012000,30
116,1012100,122
117,1012200,10
118,1012400,29
119,1012500,116
120,1012600,43
121,1012700,94
122,1012800,24
123,1012900,55
124,1013000,12
125,1013100,109
126,1013200,31
127,1013300,98
128,1013400,54
129,1013500,31
130,1013600,19
131,1013700,126
132,1013800,61
133,1013900,85
134,1014000,47
135,1014200,13
136,1014300,11
137,1014401,4
138,1014402,10
139,1014500,34
140,1014601,31
141,1014602,34
142,1014700,5
143,1014801,14
144,1014802,28
145,1014900,24
146,1015001,6
147,1015002,7
148,1015100,8
149,1015200,13
150,1015300,31
151,1015400,32
152,1015500,4
